tweet_id,timestamp,source,text,expanded_urls,dog_type,dog_breed,img_url,retweet_count,favorite_count,rating
891815181378084864,2017-07-31 00:18:03+00:00,iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,unknown,chihuahua,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,3538,22417,1.2
891327558926688256,2017-07-29 16:00:24+00:00,iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",unknown,basset,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,7885,35857,1.2
891087950875897856,2017-07-29 00:08:17+00:00,iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,unknown,chesapeake_bay_retriever,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,2651,18103,1.3
890729181411237888,2017-07-28 00:22:40+00:00,iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",unknown,pomeranian,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,16052,57772,1.3
890609185150312448,2017-07-27 16:25:51+00:00,iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,unknown,irish_terrier,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,3680,24924,1.3
890006608113172480,2017-07-26 00:31:25+00:00,iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",unknown,samoyed,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,6248,27440,1.3
889638837579907072,2017-07-25 00:10:02+00:00,iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",unknown,french_bulldog,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,3786,24034,1.2
889278841981685760,2017-07-24 00:19:32+00:00,iphone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,unknown,whippet,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,4518,22478,1.3
888917238123831296,2017-07-23 00:22:39+00:00,iphone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,unknown,golden_retriever,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,3822,26042,1.2
888554962724278272,2017-07-22 00:23:06+00:00,iphone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",unknown,siberian_husky,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,2925,17606,1.3
888078434458587136,2017-07-20 16:49:33+00:00,iphone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",unknown,french_bulldog,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,2950,19450,1.2
887705289381826560,2017-07-19 16:06:48+00:00,iphone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,unknown,basset,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,4605,27045,1.3
887343217045368832,2017-07-18 16:08:03+00:00,iphone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,unknown,mexican_hairless,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,8951,30056,1.3
887101392804085760,2017-07-18 00:07:08+00:00,iphone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,unknown,samoyed,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,5071,27407,1.2
